numero_amostra;accel_x;accel_y;accel_z;giro_x;giro_y;giro_z
1;4396;-10288;-8440;-431;398;-292
2;4480;-10280;-8420;-468;58;-299
3;10992;-8436;-3568;4363;-820;-7634
4;15340;-6748;-628;-1764;5145;-9788
5;14512;-6780;5604;-35;-4235;-4041
6;12488;-8140;-1264;-22801;15559;-29929
7;15536;-3488;3740;17369;3543;-823
8;19736;-6088;5144;1428;8676;-4373
9;14952;-2624;3660;7904;-8253;-1134
10;14080;-7132;4752;-5291;-8833;-11121
11;15464;-2800;3020;4800;5485;-1992
12;15852;292;8304;13787;-68;-5687
13;22452;2436;20300;-1947;14698;4312
14;22924;464;14508;-12016;18072;-12890
15;19152;-4000;9520;2269;15391;10741
16;17116;-7720;3612;-23148;-12028;-32097
17;18540;-1764;3196;16749;-1001;25415
18;15908;-6352;3180;-15921;3067;-25596
19;19600;3432;8380;-2325;16608;9366
20;16252;-8040;5700;10291;-12070;2971
21;13736;-7168;1472;-7629;-6441;-20985
22;17272;-3964;3044;-16728;19925;-30444
23;15972;-6088;1148;4165;-1985;2948
24;17868;-4240;2416;-1278;-14656;-7400
25;15576;-2804;2100;10257;16893;-2526
26;14952;8404;8836;5445;12602;890
27;5712;548;17940;3885;17633;6177
28;-2256;2064;20404;3553;-9727;-8642
29;8516;8232;18952;-445;-12325;-2548
30;8648;8004;15364;578;3773;7772
